Probe Set ID	Gene Symbol	Gene Title
31701_r_at	HAB1	B1 for mucin
31702_at	FOXN2	forkhead box N2
31703_at	CHRNA6	cholinergic receptor, nicotinic, alpha 6
31704_at	DNASE1L2	deoxyribonuclease I-like 2
31705_at	SLURP1	secreted LY6/PLAUR domain containing 1
31706_at	MUC7	mucin 7, secreted
31707_at	ZNF10	zinc finger protein 10
31708_at	RPL30	ribosomal protein L30
31709_at	---	---
31710_at	TRA@	T cell receptor alpha locus
31711_at	GRIN2D	glutamate receptor, ionotropic, N-methyl D-aspartate 2D
31712_at	DLGAP2	discs, large (Drosophila) homolog-associated protein 2
31713_s_at	DLGAP2	discs, large (Drosophila) homolog-associated protein 2
31714_at	MSH4	mutS homolog 4 (E. coli)
31715_at	CXORF2 /// LOC653363 /// LOC653367	chromosome X open reading frame 2 /// similar to chromosome X open reading frame 2 /// similar to chromosome X open reading frame 2
31716_at	PCDH1	protocadherin 1 (cadherin-like 1)
31717_at	PIN1L	protein (peptidylprolyl cis/trans isomerase) NIMA-interacting 1-like
31718_at	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2
31719_at	FN1	fibronectin 1
31720_s_at	FN1	fibronectin 1
31721_at	LPA	lipoprotein, Lp(a)
31722_at	RPL3	ribosomal protein L3
31723_at	CST5	cystatin D
31724_at	SHH	sonic hedgehog homolog (Drosophila)
31725_s_at	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2
31726_at	GABRA3	gamma-aminobutyric acid (GABA) A receptor, alpha 3
31727_at	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2
31728_at	HLA-DOA	major histocompatibility complex, class II, DO alpha
31729_at	TAF13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa
31730_at	HIST1H1T	histone 1, H1t
31731_at	CBX4	chromobox homolog 4 (Pc class homolog, Drosophila)
31732_at	RLN2	relaxin 2
31733_at	P2RX3	purinergic receptor P2X, ligand-gated ion channel, 3
31734_at	HOXC11	homeobox C11
31735_at	PPP1R2P9	protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 9
31736_at	---	ELISC-1
31737_at	ACTA1	actin, alpha 1, skeletal muscle
31738_at	---	---
31739_at	OBSCN	Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
31740_s_at	PAX4	paired box gene 4
31741_at	PAX4	paired box gene 4
31742_at	TNFSF14	tumor necrosis factor (ligand) superfamily, member 14
31743_at	MAG	malignancy-associated protein
31744_at	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1
31745_at	MUC3B	mucin 3B, cell surface associated
31746_at	POM121L2 /// LOC441135	POM121 membrane glycoprotein-like 2 (rat) /// similar to Nuclear envelope pore membrane protein POM 121 (Pore membrane protein of 121 kDa) (P145)
31747_g_at	POM121L2 /// LOC441135	POM121 membrane glycoprotein-like 2 (rat) /// similar to Nuclear envelope pore membrane protein POM 121 (Pore membrane protein of 121 kDa) (P145)
31748_at	POM121L2 /// LOC441135	POM121 membrane glycoprotein-like 2 (rat) /// similar to Nuclear envelope pore membrane protein POM 121 (Pore membrane protein of 121 kDa) (P145)
31749_f_at	HIST1H2AK	histone 1, H2ak
31750_at	HIST1H1B	histone 1, H1b
31751_f_at	HIST1H4L	histone 1, H4l
31752_at	---	---
31753_at	---	Transcribed locus
31754_at	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12
31755_at	EN2	engrailed homolog 2
31756_at	SLC14A2	Solute carrier family 14 (urea transporter), member 2
31757_at	STK35	Serine/threonine kinase 35
31758_at	---	---
31759_at	SAG	S-antigen; retina and pineal gland (arrestin)
31760_at	SAG	S-antigen; retina and pineal gland (arrestin)
31761_at	---	---
31762_at	SCD5	Stearoyl-CoA desaturase 5
31763_at	OR7A5	olfactory receptor, family 7, subfamily A, member 5
31764_at	GPR98	G protein-coupled receptor 98
31765_at	DOCK10	dedicator of cytokinesis 10
31766_s_at	DOCK10	dedicator of cytokinesis 10
31767_at	XYLB	xylulokinase homolog (H. influenzae)
31768_at	HIST1H2AI	histone 1, H2ai
31769_at	WNT8B	wingless-type MMTV integration site family, member 8B
31770_at	---	---
31771_at	DKFZP686O1327	Hypothetical gene supported by BC043549; BX648102 /// Homo sapiens, clone IMAGE:5538654, mRNA
31772_at	LOC644099	similar to ovo-like 2 isoform A
31773_at	---	---
31774_at	---	---
31775_at	SFTPD	surfactant, pulmonary-associated protein D
31776_at	---	---
31777_at	MUSK	muscle, skeletal, receptor tyrosine kinase
31778_at	GJA8	gap junction protein, alpha 8, 50kDa (connexin 50)
31779_s_at	PRDM1	PR domain containing 1, with ZNF domain
31780_f_at	KIR3DL3	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3
31781_at	CDRT1	CMT1A duplicated region transcript 1
31782_at	PTGDR	prostaglandin D2 receptor (DP)
31783_at	RENBP	renin binding protein
31784_at	NTN2L	netrin 2-like (chicken)
31785_f_at	LOC644005 /// LOC650570	hypothetical protein LOC644005 /// hypothetical protein LOC650570
31786_at	KHDRBS3	KH domain containing, RNA binding, signal transduction associated 3
31787_at	CAMLG	calcium modulating ligand
31788_at	ZBED4	zinc finger, BED-type containing 4
31789_at	CYP17A1	cytochrome P450, family 17, subfamily A, polypeptide 1
31790_at	STARD13	START domain containing 13
31791_at	TP73L	tumor protein p73-like
31792_at	ANXA3	annexin A3
31793_at	DEFA3	defensin, alpha 3, neutrophil-specific
31794_at	NT5C2	5'-nucleotidase, cytosolic II
31795_at	ADRBK2	adrenergic, beta, receptor kinase 2
31796_at	KIF1C	kinesin family member 1C
31797_at	TBPL1	TBP-like 1
31798_at	TFF1	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)
31799_at	COPB2	Coatomer protein complex, subunit beta 2 (beta prime)
317_at	LGMN	legumain
31800_at	---	MRNA; cDNA DKFZp586L141 (from clone DKFZp586L141)
31801_at	TMF1	TATA element modulatory factor 1 /// CDNA FLJ31919 fis, clone NT2RP7004964
31802_at	KIAA0226	KIAA0226
31803_at	ICOSLG	inducible T-cell co-stimulator ligand
31804_f_at	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1
31805_at	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)
31806_at	FMO1	flavin containing monooxygenase 1
31807_at	DDX49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49
31808_at	ING3	inhibitor of growth family, member 3
31809_at	CNTN1	Contactin 1
31810_g_at	CNTN1	contactin 1
31811_r_at	PPID	peptidylprolyl isomerase D (cyclophilin D)
31812_at	GMPR	guanosine monophosphate reductase
31813_at	CAMK2A	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha
31814_i_at	LRP3	low density lipoprotein receptor-related protein 3
31815_r_at	LRP3	low density lipoprotein receptor-related protein 3
31816_at	GAA	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)
31817_at	GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3
31818_at	---	Transcribed locus, strongly similar to XP_498569.1 PREDICTED: hypothetical protein XP_498569 [Homo sapiens]
31819_at	MGC34821	hypothetical protein MGC34821
31820_at	HCLS1	hematopoietic cell-specific Lyn substrate 1
31821_at	PPRC1	peroxisome proliferative activated receptor, gamma, coactivator-related 1
31822_at	CUTL1	cut-like 1, CCAAT displacement protein (Drosophila)
31823_at	CUTL1	cut-like 1, CCAAT displacement protein (Drosophila)
31824_at	ME1	Malic enzyme 1, NADP(+)-dependent, cytosolic
31825_at	SERPIND1	serpin peptidase inhibitor, clade D (heparin cofactor), member 1
31826_at	KIAA0674	KIAA0674
31827_s_at	TGOLN2	trans-golgi network protein 2
31828_r_at	TGOLN2	trans-golgi network protein 2
31829_r_at	TGOLN2	trans-golgi network protein 2
31830_s_at	SMTN	smoothelin
31831_at	SMTN	smoothelin
31832_at	KIAA0286	KIAA0286 protein
31833_at	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha
31834_r_at	ACSL6	Acyl-CoA synthetase long-chain family member 6
31835_at	HRG	histidine-rich glycoprotein
31836_at	MTIF2	mitochondrial translational initiation factor 2
31837_at	TMEM153	transmembrane protein 153
31838_at	C12ORF24	chromosome 12 open reading frame 24
31839_at	SF4	splicing factor 4
31840_at	IDE	insulin-degrading enzyme
31841_at	CTNNA2	catenin (cadherin-associated protein), alpha 2
31842_at	BCS1L	BCS1-like (yeast)
31843_at	ESRRG	estrogen-related receptor gamma
31844_at	HGD /// LOC642252	homogentisate 1,2-dioxygenase (homogentisate oxidase) /// similar to Homogentisate 1,2-dioxygenase (Homogentisicase) (Homogentisate oxygenase) (Homogentisic acid oxidase)
31845_at	ELF4	E74-like factor 4 (ets domain transcription factor)
31846_at	RHOD	ras homolog gene family, member D
31847_at	USPL1	ubiquitin specific peptidase like 1
31848_at	CADPS	Ca2+-dependent secretion activator
31849_at	RP11-125A7.3	KIAA0564 protein
31850_at	GCLC	glutamate-cysteine ligase, catalytic subunit
31851_at	TRIM13	tripartite motif-containing 13
31852_at	ANKMY2	ankyrin repeat and MYND domain containing 2
31853_at	EED	embryonic ectoderm development
31854_at	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)
31855_at	SRPX	sushi-repeat-containing protein, X-linked
31856_at	LRRC32	leucine rich repeat containing 32
31857_r_at	DHX34	DEAH (Asp-Glu-Ala-His) box polypeptide 34
31858_at	NUTF2	nuclear transport factor 2
31859_at	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)
31860_at	TMEM11	transmembrane protein 11
31861_at	IGHMBP2	immunoglobulin mu binding protein 2
31862_at	WNT5A	wingless-type MMTV integration site family, member 5A
31863_at	KIAA0179	KIAA0179
31864_at	MPHOSPH6	M-phase phosphoprotein 6
31865_at	DBF4	DBF4 homolog (S. cerevisiae)
31866_at	PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)
31867_at	---	ARTC1 mRNA, complete sequence
31868_at	STK16	serine/threonine kinase 16
31869_at	SWAP70	SWAP-70 protein
31870_at	CD37	CD37 molecule
31871_r_at	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase
31872_at	SS18	synovial sarcoma translocation, chromosome 18
31873_at	ARD1A	ARD1 homolog A, N-acetyltransferase (S. cerevisiae)
31874_at	GAS2L1	growth arrest-specific 2 like 1
31875_at	ASB1	ankyrin repeat and SOCS box-containing 1
31876_r_at	SEC31A	SEC31 homolog A (S. cerevisiae)
31877_at	CDC23	CDC23 (cell division cycle 23, yeast, homolog)
31878_at	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2
31879_at	FUBP3	far upstream element (FUSE) binding protein 3
31880_at	UBXD6	UBX domain containing 6
31881_at	TMEM23	transmembrane protein 23
31882_at	RNU3IP2	RNA, U3 small nucleolar interacting protein 2
31883_at	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
31884_at	MLH3	mutL homolog 3 (E. coli)
31885_at	PTPN3	protein tyrosine phosphatase, non-receptor type 3
31886_at	NT5E	5'-nucleotidase, ecto (CD73)
31887_at	CKMT1B /// CKMT1A /// LOC649970 /// LOC649981	creatine kinase, mitochondrial 1B /// creatine kinase, mitochondrial 1A /// similar to creatine kinase, mitochondrial 1B precursor /// similar to creatine kinase, mitochondrial 1B precursor
31888_s_at	PHLDA2	pleckstrin homology-like domain, family A, member 2
31889_at	MLANA	melan-A
31890_s_at	ZNF143	zinc finger protein 143 (clone pHZ-1)
31891_at	CHI3L2	chitinase 3-like 2
31892_at	PTPRM	protein tyrosine phosphatase, receptor type, M
31893_at	ARL2	ADP-ribosylation factor-like 2
31894_at	CENPC1	centromere protein C 1
31895_at	BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1
31896_at	NAG	neuroblastoma-amplified protein
31897_at	DOC1	downregulated in ovarian cancer 1
31898_at	EDEM1	ER degradation enhancer, mannosidase alpha-like 1
31899_at	KIAA0103	KIAA0103
318_at	H1FX	H1 histone family, member X
31900_at	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2
31901_at	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2
31902_at	DIO2	deiodinase, iodothyronine, type II
31903_at	SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1
31904_at	PDE2A	phosphodiesterase 2A, cGMP-stimulated
31905_at	GALR2	galanin receptor 2
31906_at	HSBP1	heat shock factor binding protein 1
31907_at	RPL14	ribosomal protein L14
31908_at	LFNG	lunatic fringe homolog (Drosophila)
31909_at	KIAA0754	hypothetical LOC643314
31910_at	---	Clone 255298 defective mariner transposon Hsmar2 mRNA sequence
31911_at	TMSB4Y	thymosin, beta 4, Y-linked
31912_at	FOXH1	forkhead box H1
31913_at	ELF5	E74-like factor 5 (ets domain transcription factor)
31914_at	CHD1L	chromodomain helicase DNA binding protein 1-like
31915_at	DRP2	dystrophin related protein 2
31916_at	KLRA1	killer cell lectin-like receptor subfamily A, member 1
31917_at	PCDHA13	protocadherin alpha 13
31918_at	PROX1	prospero-related homeobox 1
31919_at	GPR171	G protein-coupled receptor 171
31920_at	CDON	Cdon homolog (mouse)
31921_at	OR2F1	olfactory receptor, family 2, subfamily F, member 1
31922_i_at	---	---
31923_f_at	---	---
31924_at	SAC	testicular soluble adenylyl cyclase
31925_s_at	RASGRF1	Ras protein-specific guanine nucleotide-releasing factor 1
31926_at	CYP7A1	cytochrome P450, family 7, subfamily A, polypeptide 1
31927_s_at	C21ORF33	chromosome 21 open reading frame 33
31928_at	FGF6	fibroblast growth factor 6
31929_at	RFX3	regulatory factor X, 3 (influences HLA class II expression)
31930_f_at	RHCE	Rh blood group, CcEe antigens
31931_f_at	RHCE	Rh blood group, CcEe antigens
31932_f_at	BTF3	basic transcription factor 3
31933_r_at	BTF3	basic transcription factor 3
31934_at	ADAM10	ADAM metallopeptidase domain 10
31935_s_at	DDX11 /// DDX12 /// LOC642846 /// LOC652053	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae) /// DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 12 (CHL1-like helicase homolog, S. cerevisiae) /// DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like /// similar to DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 isoform 1
31936_s_at	KIAA0430	KIAA0430
31937_at	KIAA0430	KIAA0430
31938_g_at	KIAA0430	KIAA0430
31939_at	BAI3	brain-specific angiogenesis inhibitor 3
31940_s_at	RFPL1	ret finger protein-like 1
31941_s_at	RFPL1 /// RFPL3 /// RFPL2	ret finger protein-like 1 /// ret finger protein-like 3 /// ret finger protein-like 2
31942_at	TULP3	tubby like protein 3
31943_g_at	TULP3	tubby like protein 3
31944_at	TULP3	tubby like protein 3
31945_s_at	SH2D1A	SH2 domain protein 1A, Duncan's disease (lymphoproliferative syndrome)
31946_s_at	FOXG1B /// FOXG1A	forkhead box G1B /// forkhead box G1A
31947_r_at	FOXG1A	forkhead box G1A
31948_at	---	---
31949_at	RASGRF1	Ras protein-specific guanine nucleotide-releasing factor 1
31950_at	PABPC1	poly(A) binding protein, cytoplasmic 1
31951_s_at	PABPC1	poly(A) binding protein, cytoplasmic 1
31952_at	RPL6	ribosomal protein L6
31953_f_at	GAGE3	G antigen 3
31954_f_at	GAGE1 /// GAGE2 /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE7B /// GAGE8 /// LOC643832 /// LOC645009 /// LOC645043 /// LOC645051 /// LOC645061 /// LOC645073 /// LOC645083 /// LOC645093	G antigen 1 /// G antigen 2 /// G antigen 4 /// G antigen 5 /// G antigen 6 /// G antigen 7 /// G antigen 7B /// G antigen 8 /// similar to GAGE-8 protein (G antigen 8) /// similar to GAGE-4 protein (G antigen 4) /// similar to GAGE-1 protein (G antigen 1) (MZ2-F antigen) /// similar to G antigen 7 /// similar to G antigen 7 /// similar to GAGE-1 protein (G antigen 1) (MZ2-F antigen) /// similar to GAGE-1 protein (G antigen 1) (MZ2-F antigen) /// similar to GAGE-8 protein (G antigen 8)
31955_at	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30
31956_f_at	RPLP1	ribosomal protein, large, P1
31957_r_at	RPLP1	ribosomal protein, large, P1
31958_i_at	SHPRH	SNF2 histone linker PHD RING helicase
31959_at	ADAM21	ADAM metallopeptidase domain 21
31960_f_at	GAGE1 /// GAGE2 /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE7B /// GAGE8 /// LOC645009 /// LOC645043 /// LOC645051 /// LOC645061 /// LOC645073 /// LOC645083 /// LOC645093	G antigen 1 /// G antigen 2 /// G antigen 4 /// G antigen 5 /// G antigen 6 /// G antigen 7 /// G antigen 7B /// G antigen 8 /// similar to GAGE-4 protein (G antigen 4) /// similar to GAGE-1 protein (G antigen 1) (MZ2-F antigen) /// similar to G antigen 7 /// similar to G antigen 7 /// similar to GAGE-1 protein (G antigen 1) (MZ2-F antigen) /// similar to GAGE-1 protein (G antigen 1) (MZ2-F antigen) /// similar to GAGE-8 protein (G antigen 8)
31961_r_at	---	Clone 24487 mRNA sequence
31962_at	RPL37A	ribosomal protein L37a
31963_at	SERPINA2	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 2
31964_at	ITSN1	Intersectin 1 (SH3 domain protein)
31965_at	EMR2	egf-like module containing, mucin-like, hormone receptor-like 2
31966_at	DIO1	deiodinase, iodothyronine, type I
31967_at	NPHS1	nephrosis 1, congenital, Finnish type (nephrin)
31968_at	SLC22A4	Solute carrier family 22 (organic cation transporter), member 4
31969_i_at	PPEF2	protein phosphatase, EF-hand calcium binding domain 2
31970_r_at	PPEF2	protein phosphatase, EF-hand calcium binding domain 2
31971_at	C3ORF27	chromosome 3 open reading frame 27
31972_at	F2RL2	coagulation factor II (thrombin) receptor-like 2
31973_at	CACNA1G	calcium channel, voltage-dependent, alpha 1G subunit
31974_at	CLDN14	claudin 14
31975_at	MT4	metallothionein IV
31976_at	MEP1B	meprin A, beta
31977_at	GUCY2D	guanylate cyclase 2D, membrane (retina-specific)
31978_at	KIF25	kinesin family member 25
31979_at	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
31980_at	FOXN1	forkhead box N1
31981_at	CRYBB3	crystallin, beta B3
31982_at	KIAA0894	KIAA0894 protein
31983_at	EMX2	empty spiracles homolog 2 (Drosophila)
31984_at	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
31985_at	PHIP	pleckstrin homology domain interacting protein
31986_at	REPS1	RALBP1 associated Eps domain containing 1
31987_at	KIRREL	Kin of IRRE like (Drosophila)
31988_at	NXPH3	neurexophilin 3
31989_s_at	KIF17	kinesin family member 17
31990_at	KIF17	kinesin family member 17
31991_at	NCKIPSD	NCK interacting protein with SH3 domain
31992_f_at	HIST1H2AI /// HIST1H2AH	histone 1, H2ai /// histone 1, H2ah
31993_f_at	---	---
31994_at	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)
31995_g_at	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)
31996_at	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)
31997_at	---	PTR5 mRNA for repetitive sequence
31998_at	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1
31999_at	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1
319_g_at	H1FX	H1 histone family, member X
32000_g_at	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1
32001_s_at	PCSK6	proprotein convertase subtilisin/kexin type 6
32002_at	GFRA3	GDNF family receptor alpha 3
32003_at	MAT1A	methionine adenosyltransferase I, alpha
32004_s_at	CDC2L1 /// CDC2L2	cell division cycle 2-like 1 (PITSLRE proteins) /// cell division cycle 2-like 2 (PITSLRE proteins)
32005_at	PMCH	pro-melanin-concentrating hormone
32006_r_at	SMR3B	submaxillary gland androgen regulated protein 3 homolog B (mouse)
32007_at	---	---
32008_at	FUT9	fucosyltransferase 9 (alpha (1,3) fucosyltransferase)
32009_at	CCR9	chemokine (C-C motif) receptor 9
32010_at	---	---
32011_g_at	---	---
32012_at	PCNX	pecanex homolog (Drosophila)
32013_at	ZNF409	zinc finger protein 409
32014_at	ADAM18	ADAM metallopeptidase domain 18
32015_at	PYGO1	pygopus homolog 1 (Drosophila)
32016_at	C22ORF24	chromosome 22 open reading frame 24
32017_at	PARD6B	Par-6 partitioning defective 6 homolog beta (C. elegans)
32018_at	PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)
32019_at	DKFZP434C153	DKFZP434C153 protein
32020_at	LOC389715	hypothetical LOC389715
32021_at	LEMD2	LEM domain containing 2
32022_at	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)
32023_at	RP1-153G14.3	similar to dJ153G14.3 (novel C2H2 type Zinc Finger protein)
32024_at	KHDRBS2	KH domain containing, RNA binding, signal transduction associated 2
32025_at	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)
32026_s_at	RAPGEF2	Rap guanine nucleotide exchange factor (GEF) 2
32027_at	PDZK1	PDZ domain containing 1
32028_at	PMM2	phosphomannomutase 2
32029_at	PDPK1	3-phosphoinositide dependent protein kinase-1
32030_at	AP3S2	adaptor-related protein complex 3, sigma 2 subunit
32031_at	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
32032_at	DGCR14	DiGeorge syndrome critical region gene 14
32033_at	CHKB /// CPT1B	choline kinase beta /// carnitine palmitoyltransferase 1B (muscle)
32034_at	ZNF217	zinc finger protein 217
32035_at	HLA-DRB4	major histocompatibility complex, class II, DR beta 4
32036_i_at	RPP14	ribonuclease P 14kDa subunit
32037_r_at	RPP14	ribonuclease P 14kDa subunit
32038_s_at	SFRS2B	splicing factor, arginine/serine-rich 2B
32039_at	AP3B1	adaptor-related protein complex 3, beta 1 subunit
32040_i_at	CDC5L	CDC5 cell division cycle 5-like (S. pombe)
32041_r_at	CDC5L	CDC5 cell division cycle 5-like (S. pombe)
32042_at	COVA1	cytosolic ovarian carcinoma antigen 1
32043_at	STC2	stanniocalcin 2
32044_at	UBE3C	ubiquitin protein ligase E3C
32045_at	DIDO1	death inducer-obliterator 1
32046_at	PRKCD	protein kinase C, delta
32047_at	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide
32048_at	---	CDNA FLJ42849 fis, A-BRHIP2004902 /// Gene from PAC 886K2, chromosome 1
32049_f_at	---	CDNA FLJ42849 fis, A-BRHIP2004902
32050_r_at	---	---
32051_at	ALG8	asparagine-linked glycosylation 8 homolog (S. cerevisiae, alpha-1,3-glucosyltransferase)
32052_at	HBB	hemoglobin, beta /// hemoglobin, beta
32053_at	CCNT2	cyclin T2
32054_at	CCNT2	cyclin T2
32055_g_at	CCNT2	cyclin T2
32056_at	SEPT4	septin 4
32057_at	LRRC17	leucine rich repeat containing 17
32058_at	CHST10	carbohydrate sulfotransferase 10
32059_at	LOC137886	hypothetical protein LOC137886
32060_at	BNIP2	BCL2/adenovirus E1B 19kDa interacting protein 2
32061_at	RC74	integrator complex subunit 9
32062_at	LRRC14	leucine rich repeat containing 14
32063_at	PBX1	pre-B-cell leukemia transcription factor 1
32064_at	PPARBP	PPAR binding protein
32065_at	CREM	cAMP responsive element modulator
32066_g_at	CREM	cAMP responsive element modulator
32067_at	CREM	cAMP responsive element modulator
32068_at	C3AR1	complement component 3a receptor 1
32069_at	N4BP1	Nedd4 binding protein 1
32070_at	PTPRCAP	protein tyrosine phosphatase, receptor type, C-associated protein
32071_at	ZNF609	zinc finger protein 609
32072_at	MSLN	mesothelin
32073_at	JMJD2A	jumonji domain containing 2A
32074_at	DCLRE1A	DNA cross-link repair 1A (PSO2 homolog, S. cerevisiae)
32075_at	ZFP161	zinc finger protein 161 homolog (mouse)
32076_at	DSCR1L1	Down syndrome critical region gene 1-like 1
32077_s_at	KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1
32078_at	NEDD4	neural precursor cell expressed, developmentally down-regulated 4
32079_at	KIF13B	kinesin family member 13B
32080_at	TETRAN	tetracycline transporter-like protein
32081_at	CIT	citron (rho-interacting, serine/threonine kinase 21)
32082_at	SENP5	SUMO1/sentrin specific peptidase 5
32083_at	GPR137B	G protein-coupled receptor 137B
32084_at	SLC22A5	solute carrier family 22 (organic cation transporter), member 5
32085_at	PIP5K3	phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase, type III
32086_at	ZNF184	zinc finger protein 184 (Kruppel-like)
32087_at	HSF2	heat shock transcription factor 2
32088_at	BLZF1	basic leucine zipper nuclear factor 1 (JEM-1)
32089_at	SPAG6	sperm associated antigen 6
32090_at	NMNAT2	nicotinamide nucleotide adenylyltransferase 2
32091_at	SLC25A44	solute carrier family 25, member 44
32092_at	SDC3	syndecan 3 (N-syndecan)
32093_at	CHD5	chromodomain helicase DNA binding protein 5
32094_at	CHST3	carbohydrate (chondroitin 6) sulfotransferase 3
32095_at	IPO13	importin 13
32096_at	TRMT1	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)
32097_at	PCNT	pericentrin (kendrin)
32098_at	COL6A2	collagen, type VI, alpha 2
32099_at	SAFB2	scaffold attachment factor B2
320_at	PEX6	peroxisomal biogenesis factor 6
32100_r_at	GALNS	galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)
32101_at	GALNS	Galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)
32102_at	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin)
32103_at	SERPINF2	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2
32104_i_at	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma
32105_f_at	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma
32106_at	SERPINA4	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4
32107_at	C21ORF25	chromosome 21 open reading frame 25
32108_at	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)
32109_at	FXYD1	FXYD domain containing ion transport regulator 1 (phospholemman)
32110_at	KIAA0523	KIAA0523 protein
32111_at	CDYL	chromodomain protein, Y-like
32112_s_at	AIM1	absent in melanoma 1
32113_at	AIM1	absent in melanoma 1
32114_s_at	ADORA2A	adenosine A2a receptor
32115_r_at	ADORA2A	adenosine A2a receptor
32116_at	TMC6	transmembrane channel-like 6
32117_at	AATF	apoptosis antagonizing transcription factor
32118_at	RAD17	RAD17 homolog (S. pombe)
32119_at	---	Homo sapiens, clone IMAGE:4214654, mRNA
32120_at	SPAG5	sperm associated antigen 5
32121_at	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide
32122_at	SUOX	sulfite oxidase
32123_at	COL7A1	collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)
32124_at	THOC2	THO complex 2
32125_at	THOC2	THO complex 2
32126_at	FGF7	fibroblast growth factor 7 (keratinocyte growth factor)
32127_at	BICD1	bicaudal D homolog 1 (Drosophila)
32128_at	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)
32129_at	ZNF364	zinc finger protein 364
32130_at	PTOV1	Prostate tumor overexpressed gene 1
32131_at	DZIP3	zinc finger DAZ interacting protein 3
32132_at	DZIP3	zinc finger DAZ interacting protein 3
32133_at	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma
32134_at	TES	testis derived transcript (3 LIM domains)
